questionNumber|quizQuestion|Answer
28|What is the general syntax of a for loop in C++?A) for (initialization; condition; update) { statements; }B) for (initialization; condition) { statements; }C) for (condition; update) { statements; }D) for (expression) { statements; }|A
29|What is the primary purpose of a function prototype in C++?A) Define the body of a functionB) Declare a function before it is definedC) Declare variables inside a functionD) Specify the return type of a function|B
30|By default, how are parameters passed to a function in C++?A) By valueB) By referenceC) By pointerD) By name|A
31|What does the default behavior of passing parameters by value in C++ entail?A) Changes to parameters inside the function affect original valuesB) Original values are copied into function parametersC) References to original values are passedD) Pointers to original values are passed|B
32|What is the purpose of a function prototype in C++?A) To declare variables inside a functionB) To define the body of a functionC) To specify the return type of a functionD) To declare a function before it is defined|D
33|Which loop structure is useful when you need to execute a statement at least once in C++?A) while loopB) for loopC) do...while loopD) switch loop|C
34|In C++, what kind of values are considered false in condition evaluation?A) Values greater than zeroB) Values less than zeroC) Zero-valued expressionsD) Non-integer expressions|C
35|What is the primary purpose of the switch statement in C++?A) Execute a statement if a condition is trueB) Execute a statement if a condition is falseC) Provide an alternate syntax for if-else statementsD) Choose among several actions based on the value of an expression|D
36|What is the role of the preprocessor directives in a C++ program?A) Modify the behavior of the compilerB) Execute program statements sequentiallyC) Define hardware componentsD) Declare variables|A
37|Which preprocessor directive is used to include standard input/output library in a C++ program?A) #include <iostream>B) #include <stdio.h>C) #include <cstdlib>D) #include <cstring>|A
38|In C++, what happens if no break statement is included in a case of a switch structure?A) The program stops executionB) It causes a compilation errorC) Control falls through to the next caseD) It executes the default case|C
39|What is the primary purpose of the cin and cout objects in C++?A) To perform arithmetic operationsB) To handle file input/outputC) To manipulate stringsD) To read from and write to the standard input/output streams|D
40|What is the purpose of the break statement in a switch structure?A) To exit the loopB) To skip the current iterationC) To jump to the next caseD) To exit the switch structure|D
41|In C++, what does the following statement achieve: list[5] = list[3] + list[6];?A) It initializes the array list with valuesB) It calculates the sum of elements at indices 3 and 6C) It assigns the value of index 3 to index 5D) It assigns the value of index 6 to index 5|B
42|Which loop is best suited for situations where the number of repetitions is known in advance?A) while loopB) for loopC) do...while loopD) if-else loop|B
43|What is the primary difference between a while loop and a do...while loop in C++?A) The while loop always executes at least onceB) The do...while loop does not have a loop conditionC) The while loop has an exit condition at the endD) The do...while loop does not support nested loops|A
44|What is the general form of a for loop in C++?A) for (initialization; condition; update)B) for (condition; update; initialization)C) for (update; condition; initialization)D) for (condition; initialization; update)|A
45|What is the syntax for declaring a one-dimensional array in C++?A) int num[5];B) int[num];C) int num();D) int[] num;|A
46|What is the significance of the index in an array?A) It specifies the data type of the arrayB) It determines the size of the arrayC) It specifies the position of a component in the arrayD) It initializes the array|C
47|How are arrays initialized during declaration in C++?A) By specifying the array size and values within bracesB) By providing only the array sizeC) By using the new keywordD) By declaring the data type of the array|A
48|Which of the following statements is illegal in C++ when working with arrays?A) int list[10] = {0};B) int list[10] = {8, 5, 12};C) int list[];D) int list[10];|C
49|What is the purpose of a two-dimensional array?A) To store data of different data typesB) To store data in a single dimensionC) To arrange data in two dimensionsD) To perform aggregate operations|C
50|How are two-dimensional arrays declared in C++?A) int[rows][columns] arr;B) int arr[rows][columns];C) int arr[][];D) int arr[];|B
51|How can two-dimensional arrays be initialized in C++?A) By specifying the number of rows and columns within bracesB) By providing values for each element of the arrayC) By using the new keywordD) By declaring the data type of the array|B
52|What is the purpose of reference parameters in C++ functions?A) To make a copy of the actual parameterB) To access the memory address of the actual parameterC) To avoid passing parameters by valueD) To declare the data type of the parameter|B
53|When are reference parameters useful in C++ functions?A) When you want to change the actual parameterB) When you want to declare multiple parametersC) When you want to return multiple values from a functionD) When you want to avoid passing parameters by reference|A
54|How are arrays passed to functions in C++?A) By valueB) By referenceC) By pointerD) By name|B
55|What is the role of the '&' symbol in C++ reference parameters?A) It specifies the data type of the parameterB) It indicates that the parameter is passed by valueC) It accesses the memory address of the actual parameterD) It defines the size of the parameter|C
56|In C++, what happens when you manipulate a value parameter within a function?A) The actual parameter changesB) The function returns the manipulated valueC) The function terminatesD) The actual parameter remains unchanged|D
57|Which type of parameter is useful when you want to change the actual parameter in a function?A) Value parameterB) Reference parameterC) Pointer parameterD) Constant parameter|B
58|Why are arrays passed by reference in C++ functions?A) To save memory spaceB) To make a copy of the arrayC) To avoid passing parameters by valueD) To increase execution time|A
59|What happens if the size of an array is provided as a formal parameter in a C++ function?A) It determines the size of the arrayB) It is used to initialize the arrayC) It is ignored by the compilerD) It may lead to a compile-time error|C
60|What is the primary difference between a class and a structure in C++?A) Classes are secure and can hide implementation details, while structures cannotB) Structures are private by default, while classes are public by defaultC) Classes represent objects with methods and encapsulation, while structures are used for grouping data membersD) Structures can have constructors and destructors, while classes cannot|C
61|What is the purpose of a constructor in C++ classes?A) To delete objects properlyB) To initialize objects upon creationC) To free dynamic memoryD) To perform program housekeeping|B
62|How is a destructor defined in a C++ class?A) By using the keyword 'destroy' followed by the class nameB) By using the class name followed by a colonC) By using the character '~' followed by the class nameD) By using the keyword 'delete' followed by the class name|C
63|What happens if a class does not define its own destructor in C++?A) The compiler generates a default destructorB) The class cannot be instantiatedC) The destructor must be explicitly called in the main functionD) It results in a compilation error|A
64|How is an object's constructor automatically called in C++?A) By using the 'new' keywordB) By invoking the destructorC) When the object goes out of scopeD) Upon the object's creation|D
65|What does the 'this' pointer refer to in C++ classes?A) It refers to the base classB) It refers to the derived classC) It refers to the current objectD) It refers to the static members of the class|C
66|When is a class destructor automatically executed in C++?A) When the class object is createdB) When the class object goes out of scopeC) When the class is declaredD) When the class inherits from another class|B
67|What is the purpose of overloading a constructor in C++?A) To create multiple instances of the same classB) To allow dynamic memory allocationC) To initialize objects with different parametersD) To delete objects properly|C
68|How are objects created using a constructor in C++?A) By calling the constructor explicitlyB) By using the 'delete' keywordC) By invoking the class name followed by parenthesesD) By using the 'new' keyword|C
69|What is the significance of static member variables in C++ classes?A) They exist only when an object of the class is createdB) They are accessible using the 'this' pointerC) They are shared among all objects of the classD) They are initialized by the destructor|C
70|What is the syntax for accessing a static member variable of a class in C++?A) class_name::variable_nameB) class_name.variable_nameC) class_name->variable_nameD) variable_name::class_name|A
71|When are reference parameters useful in C++ functions?A) When you want to change the actual parameterB) When you want to declare multiple parametersC) When you want to return multiple values from a functionD) When you want to avoid passing parameters by reference|A
72|What is the purpose of passing an object by reference in C++?A) To save memory spaceB) To make a copy of the objectC) To avoid passing parameters by valueD) To increase execution time|C
73|How are arrays of class objects created in C++?A) By using the 'new' keywordB) By specifying the array size and values within bracesC) By invoking the class constructor with subscript notationD) By declaring an array of class pointers|B
74|What is the role of the '&' symbol in C++ reference parameters?A) It specifies the data type of the parameterB) It indicates that the parameter is passed by valueC) It accesses the memory address of the actual parameterD) It defines the size of the parameter|C
75|What is the purpose of a structure in C++?A) To model objects with methods and encapsulationB) To represent records and group heterogeneous data membersC) To create secure data typesD) To define constructors and destructors|B
76|What happens when an object is assigned to another object in C++?A) The objects become independent copies of each otherB) The objects share the same memory spaceC) The object's destructor is calledD) The object's constructor is called|B
77|How is a structure different from a class in C++?A) Structures are not secure, while classes are secureB) Structures have private members by default, while classes have public membersC) Structures can have constructors and destructors, while classes cannotD) Structures are used for grouping data members, while classes represent objects with methods and encapsulation|D
78|What is the default access level for members of a class in C++?A) PublicB) ProtectedC) PrivateD) Static|C
79|What is the purpose of the scope resolution operator (::) in C++?A) To access static member variablesB) To access member functions outside the class definitionC) To specify the data type of a variableD) To define the size of an array|B
80|What does a pointer store in C++?A) Memory addressB) Variable valueC) Data typeD) Function reference|A
81|What is the purpose of the asterisk (*) in C++ pointer declarations?A) Multiply valuesB) IndirectionC) Define data typeD) Declare pointers|B
82|How are pointer variables initialized in C++?A) Using nullptrB) AutomaticallyC) Must be explicitly initializedD) Using new keyword|C
83|Which operator is used to obtain the memory address of a variable in C++?A) &B) *C) ->D) ::|A
84|What is the role of the dereferencing operator (*) in C++?A) Accessing memory addressB) Defining data typesC) Indirectly accessing value at an addressD) Declaring pointers|C
85|What happens when you pass a pointer to a function in C++?A) Value is copiedB) Memory address is copiedC) Function is executedD) Variable is destroyed|B
86|How can you access the value pointed to by a pointer in C++?A) Using the dot operatorB) Using the arrow operatorC) Using the asterisk operatorD) Using the ampersand operator|C
87|What is the purpose of the arrow operator (->) in C++?A) Accessing memory addressB) Defining data typesC) Indirectly accessing members of a class or struct via a pointerD) Declaring pointers|C
88|What is the difference between static and dynamic memory allocation in C++?A) Static allocation occurs at runtime, while dynamic allocation occurs at compile timeB) Static allocation is managed by the programmer, while dynamic allocation is automaticC) Static allocation involves fixed-size memory, while dynamic allocation allows variable-size memoryD) Static allocation is slower than dynamic allocation|C
89|How do you deallocate dynamic memory in C++?A) Using the delete keywordB) AutomaticallyC) Using nullptrD) By setting variables to NULL|A
90|What is a dangling pointer in C++?A) A pointer that points to a valid memory addressB) A pointer that points to a memory address that has been deallocatedC) A pointer that is uninitializedD) A pointer that is declared but never used|B
91|How do you prevent memory leaks in C++?A) By avoiding the use of pointersB) By using only static memory allocationC) By explicitly deallocating dynamic memory when no longer neededD) By increasing the stack size|C
92|What is the default value of a pointer in C++ if it is not initialized?A) 0B) nullptrC) UndefinedD) Depends on the compiler|C
93|What is the significance of setting a pointer to nullptr after deallocating memory?A) Prevents memory leaksB) Releases the memory immediatelyC) Invalidates the pointerD) Ensures the pointer points to a valid memory address|A
94|What is the purpose of the new keyword in C++?A) Allocates memory for dynamic variablesB) Defines new data typesC) Initializes static variablesD) Reserves memory for arrays|A
95|What is the role of the delete keyword in C++?A) Allocates memoryB) Deallocates memoryC) Copies memoryD) Initializes memory|B
96|Which segment of the address space in a program holds dynamic variables?A) Code segmentB) Data segmentC) StackD) Heap|D
97|What does the expression (*ptr).value() in C++ represent?A) Dereferencing a pointerB) Accessing a member function via a pointerC) Accessing a data member via a pointerD) Initializing a pointer|B
98|What does the expression ptr->value() in C++ represent?A) Dereferencing a pointerB) Accessing a member function via a pointerC) Accessing a data member via a pointerD) Initializing a pointer|C
99|How does C++ ensure type safety when using pointers?A) By restricting pointer arithmeticB) By automatically initializing pointersC) By disallowing pointers altogetherD) By enforcing strict naming conventions|A
100|What is the significance of the ampersand (&) operator in C++?A) Returns the memory address of a variableB) Indicates a reference variableC) Denotes the size of a variableD) Represents the bitwise AND operation|A
101|What is the purpose of linked lists?A) To store data in contiguous memory blocksB) To organize and process data in memoryC) To provide fast random access to elementsD) To eliminate the need for pointers|B
102|What is a key advantage of array lists over linked lists?A) Fixed array sizeB) Slow insertion operationsC) Fast random accessD) Limited memory usage|C
103|Which data structure allows for fast random access to any element?A) Linked listB) Array listC) StackD) Queue|B
104|What component does every node in a linked list (except the last) contain?A) DataB) Pointer to the previous nodeC) Link to the next nodeD) Head pointer|C
105|What does the NULL link field in the last node of a linked list indicate?A) The end of the listB) A circular referenceC) The presence of a loopD) An empty list|A
106|Which pointer allows access to the elements of a linked list?A) Current pointerB) Head pointerC) Last pointerD) Node pointer|B
107|How can the number of elements in a linked list be determined?A) By accessing the head nodeB) By counting the number of NULL linksC) By traversing the entire listD) By using an index variable|C
108|What does a head variable in a linked list store?A) Address of the last nodeB) Address of the previous nodeC) Address of the first nodeD) Address of the current node|C
109|Why is it necessary to create a new node in the heap when inserting into a linked list?A) To conserve memoryB) To avoid memory leaksC) To simplify the codeD) To speed up insertion|B
110|What happens if a new node is created in the stack during insertion?A) Memory leak occursB) Stack overflow errorC) Dangling pointer issueD) Memory fragmentation|C
111|What is the primary purpose of the destructor in a linked list class?A) To create new nodesB) To prevent memory leaksC) To access list elementsD) To manage stack memory|B
112|Which operation is used to calculate the size of a linked list?A) getSize()B) insert()C) clear()D) traverse()|A
113|Which method is used to clear a linked list?A) delete()B) clear()C) remove()D) empty()|B
114|How can the size of a linked list be updated during insertion?A) By subtracting from the current sizeB) By adding to the current sizeC) By multiplying the current sizeD) By dividing the current size|B
115|What does the size field in a linked list data structure represent?A) Number of nodes in the listB) Total memory allocatedC) Size of each nodeD) Index of the last node|A
116|What happens if a linked list is not properly cleared?A) Memory leak occursB) Stack overflow errorC) Dangling pointer issueD) Index out of bounds error|A
117|Which operation is used to access list elements by index?A) getSize()B) insert()C) get()D) traverse()|C
118|What is the primary advantage of using a linked list over an array list?A) Fast random accessB) Fixed array sizeC) Flexible sizeD) Sequential access|C
119|What operation is necessary to determine if an item is in the list?A) getSize()B) insert()C) search()D) delete()|C
120|Which component of a linked list node stores relevant information?A) LinkB) PointerC) DataD) Index|C
121|What operation determines the existence of an item in a linked list?A) AddB) SearchC) RemoveD) Sort|B
122|What is the key field parameter in a linked list search function?A) IndexB) ValueC) SizeD) Length|B
123|What is the time complexity for accessing an element at a given index in a linked list?A) O(1)B) O(log n)C) O(n)D) O(n^2)|C
124|What method is used to get the element's info at a given index?A) getItemAtB) getItemInfoC) accessItemD) getElement|A
125|How is the first element deleted in a linked list?A) deleteStartB) removeFirstC) deleteFirstD) removeStart|C
126|How is the last element deleted in a linked list?A) deleteEndB) removeLastC) deleteLastD) removeEnd|A
127|What method is used to delete an item at an arbitrary index in a linked list?A) deleteItemAtB) removeItemC) deleteItemD) removeItemAt|D
128|What is the time complexity for deleting an item at an arbitrary index in a linked list?A) O(1)B) O(log n)C) O(n)D) O(n^2)|C
129|What is the primary purpose of the link field in a linked list node?A) Store dataB) Identify nodeC) Point to the next nodeD) Store index|C
130|What happens if an attempt is made to access an element at an index beyond the bounds of the linked list?A) Index out of range errorB) Null pointer exceptionC) Memory leakD) Index out of bound|A
131|When traversing a linked list,what is compared with the desired value to search for an item?A) IndexB) PointerC) InfoD) Size|C
132|What type of error may occur if a new node is created in the stack during insertion?A) Memory leakB) Stack overflow errorC) Dangling pointer issueD) Memory fragmentation|C
133|What is the time complexity for deleting the last item in a linked list?A) O(1)B) O(log n)C) O(n)D) O(n^2)|C
134|Linked lists can be used to implement a queue data structure efficiently.A) TrueB) False|A
135|What modification is required in the constructor of a linked list to accommodate efficient insertion at the end?A) Initializing size to 1B) Setting head to NULLC) Initializing tail to NULLD) Allocating memory for a new node|C
136|In a linked list,which operation's efficiency is not improved by using a tail pointer?A) Inserting at the beginningB) Deleting from the beginningC) Inserting at the endD) Deleting from the end|A
137|Which method allows reversed traversal of a linked list using recursion?A) printReverse()B) traverseBackward()C) reverseTraversal()D) backwardPrint()|A
138|Which approach is more efficient for reversed traversal of a linked list?A) Using a nested loopB) Using recursionC) Using a doubly linked listD) Using an array|B
139|What is the main advantage of using doubly linked lists?A) Efficient insertion at the beginningB) Efficient traversal in both directionsC) Reduced memory consumptionD) Simplified implementation of insertions|B
140|What application can benefit from the use of doubly linked lists?A) Implementing a stackB) Implementing a queueC) Implementing back and forward buttons in a web browserD) Implementing a binary search tree|C
141|How can doubly linked lists improve traversal to reach an item at a given index?A) By starting from the middleB) By starting from the endC) By starting from both ends simultaneouslyD) By using a recursive approach|C
142|Which data structure is suitable for implementing back and forward buttons in a web browser?A) Singly linked listB) Doubly linked listC) Circular linked listD) Array|B
143|What characteristic distinguishes a circular linked list from a normal linked list?A) It stores NULL at the end nodeB) It has a limited number of elementsC) Its last node points to the first nodeD) It allows bidirectional traversal|C
144|What operation must be handled differently in a circular linked list compared to a normal linked list?A) Insertion at the beginningB) Deletion from the beginningC) Insertion at the endD) Deletion from the end|A
145|Which operation's efficiency does not improve significantly in a circular linked list compared to a normal linked list?A) TraversalB) Insertion at the beginningC) Insertion at the endD) Deletion from the end|A
146|What modification is necessary in a circular linked list's insertion at the beginning compared to a normal linked list?A) Initializing head to NULLB) Allocating memory for a new nodeC) Setting the tail pointer to the new nodeD) Making the last node point to the new node|D
147|What operation is performed differently in a circular doubly linked list compared to a circular linked list?A) TraversalB) Insertion at the beginningC) Deletion from the beginningD) Insertion at the end|B
148|Which factor is critical in determining whether to use an array or a linked list?A) Time complexity of operationsB) Length of the codeC) Availability of memoryD) Ease of implementation|A
149|When is a linked list preferred over an array?A) When dynamic addition and expansion are requiredB) When lots of random access is necessaryC) When searching and items are unsortedD) When memory consumption is a concern|A
150|What operation is efficient in a circular doubly linked list compared to a circular linked list?A) Traversal from beginning to endB) Traversal from end to beginningC) Insertion at the beginningD) Insertion at the end|C
151|Which operation requires modifications in both insertion and deletion methods when implementing a circular doubly linked list?A) Insertion at the beginningB) Insertion at the endC) Deletion from the beginningD) Deletion from the end|D
152|What is a significant advantage of circular doubly linked lists?A) Efficient memory utilizationB) Ability to store a large number of elementsC) Natural implementation of round-robin schedulingD) Bidirectional traversal efficiency|D
153|What operation is performed differently in a circular doubly linked list compared to a circular linked list?A) TraversalB) Insertion at the beginningC) Deletion from the beginningD) Insertion at the end|B
154|Which factor is critical in determining whether to use an array or a linked list?A) Time complexity of operationsB) Length of the codeC) Availability of memoryD) Ease of implementation|A
155|When is a linked list preferred over an array?A) When dynamic addition and expansion are requiredB) When lots of random access is necessaryC) When searching and items are unsortedD) When memory consumption is a concern|A
156|What operation is efficient in a circular doubly linked list compared to a circular linked list?A) Traversal from beginning to endB) Traversal from end to beginningC) Insertion at the beginningD) Insertion at the end|C
157|Which operation requires modifications in both insertion and deletion methods when implementing a circular doubly linked list?A) Insertion at the beginningB) Insertion at the endC) Deletion from the beginningD) Deletion from the end|D
158|What is a significant advantage of circular doubly linked lists?A) Efficient memory utilizationB) Ability to store a large number of elementsC) Natural implementation of round-robin schedulingD) Bidirectional traversal efficiency|D
159|What application can benefit from the use of doubly linked lists?A) Implementing a stackB) Implementing a queueC) Implementing back and forward buttons in a web browserD) Implementing a binary search tree|C
160|How can doubly linked lists improve traversal to reach an item at a given index?A) By starting from the middleB) By starting from the endC) By starting from both ends simultaneouslyD) By using a recursive approach|C
161|What operation in a stack adds an element onto the stack?A) topB) pushC) popD) isEmpty|B
162|In the context of stack operations, what does the top operation do?A) Removes the top element from the stackB) Adds an element onto the stackC) Peeks at the top element of the stack without removing itD) Checks if the stack is empty|C
163|Which application utilizes the stack concept for parentheses matching?A) Sorting algorithmsB) Parentheses balancingC) Searching algorithmsD) String manipulation|B
164|What is the expected behavior of the isEmpty operation in a stack?A) It returns true if the stack is fullB) It returns true if the stack is not emptyC) It returns true if the stack is emptyD) It returns true if the stack is balanced|C
165|What algorithm is used for parentheses matching?A) Depth-first searchB) Breadth-first searchC) Greedy algorithmD) Stack-based algorithm|D
166|How is the stack data structure represented using arrays?A) Elements are stored in a linked listB) Elements are stored in a circular bufferC) Elements are stored in a two-dimensional arrayD) Elements are stored in a one-dimensional array|D
167|Which operation checks if the stack is empty?A) isEmptyB) pushC) popD) top|A
168|What is the purpose of the pop operation in a stack?A) To add an element onto the stackB) To peek at the top element of the stackC) To remove the top element from the stackD) To check if the stack is empty|C
169|In which application is the infix to postfix evaluation method used?A) Database managementB) Compiler designC) Graphics renderingD) Network routing|B
170|How is the stack data structure represented using linked nodes?A) Elements are stored in an arrayB) Elements are stored in a tree structureC) Elements are stored in linked nodesD) Elements are stored in a hash table|C
171|What is the purpose of the infix to postfix evaluation method?A) To convert arithmetic expressions from postfix to infix notationB) To convert arithmetic expressions from infix to postfix notationC) To evaluate arithmetic expressions in postfix notationD) To evaluate arithmetic expressions in infix notation|B
172|Which operation is used to add an element onto the stack?A) topB) pushC) popD) isEmpty|B
173|What is the key characteristic of a stack data structure?A) First In First Out (FIFO)B) Last In First Out (LIFO)C) Random accessD) Bidirectional access|B
174|Which operation removes the top element from the stack?A) topB) pushC) popD) isEmpty|C
175|In postfix evaluation, what is done when an operand is encountered?A) It is outputted immediatelyB) It is pushed onto the stackC) It is popped from the stackD) It is added to the top of the stack|B
176|What does the acronym LIFO stand for in the context of stacks?A) Last In First OutB) Lost In First OutC) Last In Fifth OutD) Last Into First Out|A
177|Which of the following is NOT a standard operation of a stack?A) pushB) addC) popD) top|B
178|Which data structure is used to implement a stack using a linked list?A) ArrayB) QueueC) TreeD) Graph|C
179|What happens when a right parenthesis is encountered in parentheses matching and the stack is empty?A) The right parenthesis is added to the stackB) An error is raisedC) The right parenthesis is ignoredD) The algorithm terminates|B
180|In the infix to postfix evaluation algorithm, what is done when a closing parenthesis is encountered?A) All operators in the stack are popped until an opening parenthesis is encounteredB) All operands in the stack are popped until a closing parenthesis is encounteredC) The closing parenthesis is pushed onto the stackD) The algorithm terminates|A
181|What is a queue in data structures?A) A list of homogeneous elementsB) A list of heterogeneous elementsC) A list of elements added at the frontD) A list of elements deleted from the front|A
182|What is the characteristic feature of a FIFO data structure?A) Elements are added at the backB) Elements are added at the frontC) Elements are deleted from the backD) Elements are deleted from the front|D
183|In a queue, how are elements added and deleted?A) Added at the front, deleted from the backB) Added at the back, deleted from the frontC) Added at the front, deleted from the frontD) Added at the back, deleted from the back|B
184|What is a common real-life example of a queue?A) A stack of booksB) A group of people waiting in lineC) A random collection of itemsD) A pool of resources|B
185|What is a priority queue?A) A queue where elements are added based on priorityB) A queue with fixed sizeC) A queue where elements are added randomlyD) A queue where elements are added alphabetically|A
186|What are the standard operations in a queue?A) addQueue, removeQueue, isEmptyB) addQueue, deleteQueue, isFullC) addQueue, deleteQueue, isEmptyD) addQueue, deleteFront, deleteRear|C
187|How is a queue implemented using arrays?A) Elements are added using a rear indexB) Elements are added using a front indexC) Elements are removed using a rear indexD) Elements are removed using a front index|A
188|What issue arises with a fixed-size array implementation of a queue?A) Memory leaksB) Dangling pointersC) Queue overflowD) Circular array handling|C
189|How is a queue implemented using linked lists?A) Elements are added at the beginningB) Elements are added at the endC) Elements are removed from the beginningD) Elements are removed from the end|B
190|What are the four data members of a queue implemented using arrays?A) Array, front index, rear index, maximum sizeB) Array, front index, rear index, countC) Linked nodes, front pointer, rear pointer, countD) Array, head pointer, tail pointer, size|B
191|How is a new element added to the end of a queue implemented using arrays?A) Advance front indexB) Advance rear indexC) Add element at front indexD) Add element at rear index|B
192|How is the size of a queue determined in the linked list implementation?A) By the number of elementsB) By the maximum capacityC) By the front pointerD) By the rear pointer|A
193|What does the deleteQueue operation in a queue return?A) The first elementB) The last elementC) The middle elementD) The highest priority element|A
194|In the linked list implementation, what is stored in the queueRear pointer?A) Address of the first nodeB) Address of the last nodeC) Number of elementsD) Address of the next node|B
195|How is the count variable used to determine if a queue is empty?A) Incremented when an element is addedB) Decremented when an element is addedC) Incremented when an element is removedD) Decremented when an element is removed|C
196|What is the purpose of the lastOpAddQ boolean variable in queue implementation?A) To track the last operation performedB) To determine the queue sizeC) To check if the queue is fullD) To indicate if an element was recently added|D
197|What is the role of the count variable in queue implementation?A) To store the maximum capacityB) To track the last operation performedC) To indicate the number of elementsD) To determine if the queue is full|C
198|How is memory deallocated to avoid dangling pointers in queue implementation?A) Using deleteFront operationB) Using deleteRear operationC) Using the delete operatorD) Using the new operator|C
199|Which operator creates dynamic variables in queue implementation?A) deleteB) deleteFrontC) newD) newFront|C
200|In the provided code snippet, what is the purpose of the system("pause") statement?A) To pause the program executionB) To clear the screenC) To wait for user inputD) To display a message|C
201|What type of data structure is suitable for hierarchically organized data items?A) Linked listsB)TreesC)StacksD)Queues|B
202|What is the top-level node in a tree called?A) ParentB) LeafC) RootD) Child|C
203|What do you call nodes at the same level in a tree?A) DescendantsB) ParentsC) SiblingsD) Leaves|C
204|What is the maximum degree of all nodes in a tree?A) Tree degreeB) Node degreeC) Leaf degreeD) Branching degree|A
205|What is the number of children a node can have?A) Node degreeB) Tree degreeC) Leaf degreeD) Parent degree|A
206|The height of a tree is the number of nodes in it. Answer True or False?A) TrueB) False|B
207|What term is used to describe nodes in a tree data structure that have no children?A) LeavesB) RootsC) BranchesD) Stems|A
208|In a tree data structure, all nodes except the root have exactly one parent. Answer True or False?A) TrueB) False|A
209|File directories in computer science are represented using tree structures. Answer True or False?A) TrueB) False|A
210|In a binary tree, what is the maximum number of children a node can have?A) OneB) TwoC) ThreeD) Four|B
211|How many nodes does a full binary tree of height (h) have?A) 2hB) 2h−1C) h2D) h|A
212|A binary tree with n nodes has a height of at least log2(n+1). Answer True or False?A) TrueB) False|A
213|What are the two sets of nodes in a binary tree called?A) Left and right nodesB) Left subtree and right subtreeC) Left and right childrenD) Left and right branches|B
214|In array representation, each element is stored at an array position corresponding to its assigned number. Answer True or False?A) TrueB) False|A
215|How does linked representation of a binary tree connect parent and child nodes?A) ArraysB) Linked listsC) StacksD) Queues|B
