StudentName|roundOneQuestion|roundOneScore|roundTwoQuestion|roundTwoScore|roundThreeQuestion|roundThreeScore|totalScore
student37|What happens if a new node is created in the stack during insertion?A) Memory leak occursB) Stack overflow errorC) Dangling pointer issueD) Memory fragmentation|0|What defines a complete graph?A) Every vertex is connected to every other vertexB) Every vertex has the same degreeC) There are no cycles in the graphD) The graph has no isolated vertices|20|What is the default value of a pointer in C++ if it is not initialized?A) 0B) nullptrC) UndefinedD) Depends on the compiler|0|20
student38|In C++, what happens when you manipulate a value parameter within a function?A) The actual parameter changesB) The function returns the manipulated valueC) The function terminatesD) The actual parameter remains unchanged|0|What is the significance of the ampersand (&) operator in C++?A) Returns the memory address of a variableB) Indicates a reference variableC) Denotes the size of a variableD) Represents the bitwise AND operation|10|What is the purpose of overloading a constructor in C++?A) To create multiple instances of the same classB) To allow dynamic memory allocationC) To initialize objects with different parametersD) To delete objects properly|0|10
student39|What does the worst-case complexity of an algorithm represent?A) Minimum number of stepsB) Maximum number of stepsC) Average number of stepsD) Time and space balance|0|Which factor is critical in determining whether to use an array or a linked list?A) Time complexity of operationsB) Length of the codeC) Availability of memoryD) Ease of implementation|15|Which operation requires modifications in both insertion and deletion methods when implementing a circular doubly linked list?A) Insertion at the beginningB) Insertion at the endC) Deletion from the beginningD) Deletion from the end|0|15
student40|What is the expected behavior of the isEmpty operation in a stack?A) It returns true if the stack is fullB) It returns true if the stack is not emptyC) It returns true if the stack is emptyD) It returns true if the stack is balanced|0|Which preprocessor directive is used to include standard input/output library in a C++ program?A) #include <iostream>B) #include <stdio.h>C) #include <cstdlib>D) #include <cstring>|10|What is the primary function of a program in computing?A) Process input to generate desired outputB) Define problem statementsC) Select suitable algorithmsD) Test and debug code|10|20
student41|What primarily represents Big O complexity?A) Time and space balanceB) Maximum number of stepsC) Minimum number of stepsD) Average number of steps|10|What do you call nodes at the same level in a tree?A) DescendantsB) ParentsC) SiblingsD) Leaves|0|In postfix evaluation, what is done when an operand is encountered?A) It is outputted immediatelyB) It is pushed onto the stackC) It is popped from the stackD) It is added to the top of the stack|0|10
student42|What is the primary aim of an ADT?A) Define problem statementsB) Optimize memory usageC) Package data with meaningful operationsD) Implement low-level data structures|0|A binary tree with n nodes has a height of at least log2(n+1). Answer True or False?A) TrueB) False|20|What is the primary function of a spanning tree in a graph?A) Maximizing the number of edgesB) Resolving dependency among verticesC) Identifying cyclesD) Connecting all vertices without cycles|0|20
student43|How can you access the value pointed to by a pointer in C++?A) Using the dot operatorB) Using the arrow operatorC) Using the asterisk operatorD) Using the ampersand operator|0|What is a queue in data structures?A) A list of homogeneous elementsB) A list of heterogeneous elementsC) A list of elements added at the frontD) A list of elements deleted from the front|15|What does each element of an adjacency matrix represent in a weighted graph?A) Vertex indexB) Edge existenceC) Edge weightD) Vertex connectivity|0|15
student44|What operation is efficient in a circular doubly linked list compared to a circular linked list?A) Traversal from beginning to endB) Traversal from end to beginningC) Insertion at the beginningD) Insertion at the end|0|How does the insertion process work in a Binary Search Tree (BST)?A) New nodes are always inserted as the root of the treeB) New nodes are inserted randomly within the treeC) New nodes are inserted as leaves at the end of a search pathD) New nodes are inserted based on their key value without any specific order|0|What is the default access level for members of a class in C++?A) PublicB) ProtectedC) PrivateD) Static|0|0
student45|How is the size of a queue determined in the linked list implementation?A) By the number of elementsB) By the maximum capacityC) By the front pointerD) By the rear pointer|15|Which data structure is composed of vertices (nodes) and edges (links/arcs)?A) TreeB) GraphC) Linked ListD) Stack|0|Determine the maximum height we can get from a binary tree when the number of nodes is 7.A) 3B) 4C) 5D) 6|20|35
student46|What operation determines the existence of an item in a linked list?A) AddB) SearchC) RemoveD) Sort|0|What is the primary purpose of a function prototype in C++?A) Define the body of a functionB) Declare a function before it is definedC) Declare variables inside a functionD) Specify the return type of a function|0|How is a destructor defined in a C++ class?A) By using the keyword 'destroy' followed by the class nameB) By using the class name followed by a colonC) By using the character '~' followed by the class nameD) By using the keyword 'delete' followed by the class name|0|0
student47|What happens if the size of an array is provided as a formal parameter in a C++ function?A) It determines the size of the arrayB) It is used to initialize the arrayC) It is ignored by the compilerD) It may lead to a compile-time error|0|What is a common real-life example of a queue?A) A stack of booksB) A group of people waiting in lineC) A random collection of itemsD) A pool of resources|0|What term describes indivisible data? A) Composite Data B) Atomic Data C) Scalar Data D) Primitive Data|0|0
student48|How are the cin and cout objects typically declared for use in a C++ program?A) #include <iostream>B) using namespace std;C) using std::cin; using std::cout;D) using namespace iostream;|10|What is the worst-case time complexity for finding a node in a Binary Search Tree (BST) with n elements?A) O(1)B) O(log n)C) O(n)D) O(n^2) |0|What data structure is commonly used in Prim's algorithm to select edges with minimal weight?A) QueueB) StackC) Priority queueD) Hash table|0|10
student49|What is the definition of an algorithm ?A) Set of instructions to solve a problem B) Data declaration with meaningful operation sC) Collection of related variables D) Kind of data structure|10|What application can benefit from the use of doubly linked lists?A) Implementing a stackB) Implementing a queueC) Implementing back and forward buttons in a web browserD) Implementing a binary search tree|0|Which type of parameter is useful when you want to change the actual parameter in a function?A) Value parameterB) Reference parameterC) Pointer parameterD) Constant parameter|0|10
student50|How is the first element deleted in a linked list?A) deleteStartB) removeFirstC) deleteFirstD) removeStart|0|Which operator creates dynamic variables in queue implementation?A) deleteB) deleteFrontC) newD) newFront|0|What is the purpose of a structure in C++?A) To model objects with methods and encapsulationB) To represent records and group heterogeneous data membersC) To create secure data typesD) To define constructors and destructors|0|0
student51|What does the default behavior of passing parameters by value in C++ entail?A) Changes to parameters inside the function affect original valuesB) Original values are copied into function parametersC) References to original values are passedD) Pointers to original values are passed|0|What is the purpose of linked lists?A) To store data in contiguous memory blocksB) To organize and process data in memoryC) To provide fast random access to elementsD) To eliminate the need for pointers|0|What preprocessor directive is used to include the string header file in a C++ program?A) #include <string>B) #include <iostream>C) #include "string.h"D) #include <cstring>|10|10
student52|How does the delete() operation handle the case where the node to be deleted is a leaf node?A) It replaces the node with its right childB) It replaces the node with its left childC) It removes the node from the treeD) It updates the root of the tree|0|Determine the minimum height we can get from a binary tree when the number of nodes is 23.A) 4B) 5C) 6D) 7|0|How are arrays passed to functions in C++?A) By valueB) By referenceC) By pointerD) By name|0|0
student53|What is the purpose of a two-dimensional array?A) To store data of different data typesB) To store data in a single dimensionC) To arrange data in two dimensionsD) To perform aggregate operations|0|What is a simple path in a graph?A) No verticesB) One vertexC) No repeated verticesD) Repeated vertices|0|Which component of a linked list node stores relevant information?A) LinkB) PointerC) DataD) Index|0|0
student54|Which data structure is suitable for implementing back and forward buttons in a web browser?A) Singly linked listB) Doubly linked listC) Circular linked listD) Array|0|Which of the following is true regarding AVL Trees?A) They are unbalanced binary search treesB) They always have a height of 2C) They maintain a balanced structure using rotationsD) They allow duplicate keys in the tree|0|How does Dijkstra's algorithm differ from Bellman-Ford algorithm?A) Dijkstra's works for negative-weight cycles, Bellman-Ford doesn'tB) Dijkstra's finds the shortest path to all nodes from a source, Bellman-Ford doesn'tC) Dijkstra's requires positive weights, Bellman-Ford doesn'tD) Dijkstra's algorithm finds the shortest path between two nodes, Bellman-Ford finds the shortest path between all pairs of nodes|0|0
student55|What issue arises with a fixed-size array implementation of a queue?A) Memory leaksB) Dangling pointersC) Queue overflowD) Circular array handling|0|What is the primary objective of topological sorting in a directed graph?A) To maximize the number of cyclesB) To minimize the number of edgesC) To resolve dependency among verticesD) To determine the existence of cycles|0|What is the primary purpose of the while loop in C++?A) Execute a statement at least onceB) Repeat a statement based on a conditionC) Execute a statement for a fixed number of timesD) Execute a statement until a condition is false|0|0
student56|What is the main purpose of Abstract Data Types (ADT)? A) Perform arithmetic operations B) Define low-level data structures C) Package data with meaningful operations D) Optimize memory allocation|0|What does a pointer store in C++?A) Memory addressB) Variable valueC) Data typeD) Function reference|10|How can the size of a linked list be updated during insertion?A) By subtracting from the current sizeB) By adding to the current sizeC) By multiplying the current sizeD) By dividing the current size|0|10
student57|In a tree data structure, all nodes except the root have exactly one parent. Answer True or False?A) TrueB) False|20|When is a linked list preferred over an array?A) When dynamic addition and expansion are requiredB) When lots of random access is necessaryC) When searching and items are unsortedD) When memory consumption is a concern|15|What is the purpose of the infix to postfix evaluation method?A) To convert arithmetic expressions from postfix to infix notationB) To convert arithmetic expressions from infix to postfix notationC) To evaluate arithmetic expressions in postfix notationD) To evaluate arithmetic expressions in infix notation|0|35
student58|Which data structure is typically used to store adjacent vertices in adjacency lists?A) ArraysB) Linked listsC) StacksD) Queues|0|What is the purpose of the asterisk (*) in C++ pointer declarations?A) Multiply valuesB) IndirectionC) Define data typeD) Declare pointers|0|By default, how are parameters passed to a function in C++?A) By valueB) By referenceC) By pointerD) By name|10|10
student59|How are arrays of class objects created in C++?A) By using the 'new' keywordB) By specifying the array size and values within bracesC) By invoking the class constructor with subscript notationD) By declaring an array of class pointers|0|What defines the maximum-key node in a Binary Search Tree (BST)?A) The rightmost node in the treeB) The leftmost node in the treeC) The root node of the treeD) The node with the highest key value|20|How can the number of elements in a linked list be determined?A) By accessing the head nodeB) By counting the number of NULL linksC) By traversing the entire listD) By using an index variable|0|20
student60|What is the key characteristic of a topological sort in a directed graph?A) It orders vertices based on their degreeB) It resolves dependencies among verticesC) It maximizes the number of cyclesD) It minimizes the number of edges|0|What is the primary purpose of the link field in a linked list node?A) Store dataB) Identify nodeC) Point to the next nodeD) Store index|0|Which algorithm is used to find the shortest path between a source node and all other nodes in a graph?A) Kruskal's algorithmB) Bellman-Ford algorithmC) Dijkstra's algorithmD) Prim's algorithm|0|0
student61|What is the primary goal of a data structure? A) Store data for later retrieval B) Execute instructions sequentially C) Define hardware components D) Define problem statements precisely|10|Common binary tree operations include determining height, counting nodes and leaves, and traversing the tree. Answer True or False?A) TrueB) False|20|What does the 'this' pointer refer to in C++ classes?A) It refers to the base classB) It refers to the derived classC) It refers to the current objectD) It refers to the static members of the class|0|30
student62|What type of error may occur if a new node is created in the stack during insertion?A) Memory leakB) Stack overflow errorC) Dangling pointer issueD) Memory fragmentation|0|What does x∈A∪B signify in set theory?A) IntersectionB) UnionC) SubsetD) Superset|0|Which operation is used to add an element onto the stack?A) topB) pushC) popD) isEmpty|0|0
student63|What does it mean for two vertices uu and vv to be adjacent in a graph?A) Connected by an edgeB) Same degreeC) Connected by a pathD) Not connected|20|What operation is performed differently in a circular doubly linked list compared to a circular linked list?A) TraversalB) Insertion at the beginningC) Deletion from the beginningD) Insertion at the end|0|Which algorithm is used to re-balance an AVL Tree after insertion or deletion operations?A) Depth-first searchB) Breadth-first searchC) RotationD) Insertion sort|0|20
student64|What resources are crucial for measuring efficiency in computing?A) Energy and speedB) Time and spaceC) Cost and materialsD) Voltage and frequency|0|How can doubly linked lists improve traversal to reach an item at a given index?A) By starting from the middleB) By starting from the endC) By starting from both ends simultaneouslyD) By using a recursive approach|0|What traversal method involves traversing the left subtree, visiting the node, and then traversing the right subtree?A) Pre-order traversalB) In-order traversalC) Post-order traversalD) Level-order traversal|0|0
student65|What is the general syntax of a for loop in C++?A) for (initialization; condition; update) { statements; }B) for (initialization; condition) { statements; }C) for (condition; update) { statements; }D) for (expression) { statements; }|10|During which traversal method is the root node visited last?A) Pre-order traversalB) In-order traversalC) Post-order traversalD) Level-order traversal|0|What is the purpose of the scope resolution operator (::) in C++?A) To access static member variablesB) To access member functions outside the class definitionC) To specify the data type of a variableD) To define the size of an array|0|10
student66|What is the general syntax of a switch structure in C++?A) switch (condition) { case label: statements; break; default: statements; }B) switch (condition) { case label: statements; default: statements; }C) switch (expression) { case label: statements; break; default: statements; }D) switch (expression) { case label: statements; default: statements; }|10|What does "x ∈ A∪B" signify in set theory?A) Intersection of sets A and BB) Subset of set A by set BC) Union of sets A and BD) Cartesian product of sets A and B|0|Which application utilizes the stack concept for parentheses matching?A) Sorting algorithmsB) Parentheses balancingC) Searching algorithmsD) String manipulation|0|10
student67|What is the time complexity for deleting the last item in a linked list?A) O(1)B) O(log n)C) O(n)D) O(n^2)|0|A node is reached from the root by what?A) BranchB) PathC) RouteD) Trail|0|Which operator is used to obtain the memory address of a variable in C++?A) &B) *C) ->D) ::|10|10
student68|What is the size of the adjacency matrix compared to the adjacency list for sparse graphs?A) The adjacency matrix is largerB) The adjacency list is largerC) They are the same sizeD) It depends on the number of vertices|0|What is a significant advantage of circular doubly linked lists?A) Efficient memory utilizationB) Ability to store a large number of elementsC) Natural implementation of round-robin schedulingD) Bidirectional traversal efficiency|0|What is the purpose of the lastOpAddQ boolean variable in queue implementation?A) To track the last operation performedB) To determine the queue sizeC) To check if the queue is fullD) To indicate if an element was recently added|0|0
student69|How is an object's constructor automatically called in C++?A) By using the 'new' keywordB) By invoking the destructorC) When the object goes out of scopeD) Upon the object's creation|0|In a Binary Search Tree (BST), what is the primary purpose of the search() operation?A) To insert a new node into the treeB) To find the maximum-key node in the treeC) To search for a specific node with a given keyD) To delete a node from the tree|0|How long should the array be for a right-skewed binary tree with n nodes?A) nB) 2nC) n+1D) 2^n|0|0
student70|Which special type of binary trees maintains the properties of BSTs?A) AVL TreesB) Red-Black TreesC) B-treesD) Trie Trees|20|What defines the minimum-key node in a Binary Search Tree (BST)?A) The rightmost node in the treeB) The leftmost node in the treeC) The root node of the treeD) The node with the lowest key value|0|What is the primary advantage of using AVL Trees in comparison to regular Binary Search Trees?A) AVL Trees require less memory spaceB) AVL Trees ensure faster search operationsC) AVL Trees maintain a balanced structureD) AVL Trees support duplicate keys|0|20
